                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.94621,                 5.4037,                      0,                 1.6687,                 1.1409,                0.50501,                   0.45,                0.30095,                0.16344,                0.73714,                   0.65,                0.62931,                0.20522,                 1.0893,                 5.0834,                      0,                 1.3936,                 1.2174,                 0.0005,                 0.0005,                 0.0005
                      1,                0.88322,                 4.7645,                      0,                 1.1107,                 1.0713,                  0.284,                    0.4,                0.21836,                0.10617,                 0.4979,                    0.7,                0.53304,                0.29013,                 1.4457,                 4.6218,                      0,                 2.3093,                 1.4003,             0.00091902,             0.00091902,             0.00091902
                      2,                 0.8873,                 4.6057,                      0,                 1.1518,                 1.0824,                0.54248,                   0.45,                0.31467,                0.17888,                 0.7248,                0.79049,                0.77545,                0.43034,                 1.3077,                 4.5546,                      0,                 1.4174,                 1.5114,              0.0012351,              0.0012351,              0.0012351
                      3,                0.85496,                 4.3954,                      0,                 1.0911,                 1.0552,                 0.5739,                   0.45,                0.32835,                 0.2104,                0.71485,                0.75216,                0.79479,                0.52112,                0.97009,                 4.4205,                      0,                  1.946,                 1.2127,               0.001406,               0.001406,               0.001406
                      4,                 0.8254,                 4.4134,                      0,                 1.0819,                 1.0361,                0.45579,                   0.45,                0.31364,                0.23783,                0.70478,                   0.75,                0.73608,                0.52179,                0.85354,                 4.1524,                      0,                 1.7205,                 1.0949,               0.001406,               0.001406,               0.001406
                      5,                0.83319,                 4.2138,                      0,                 1.0643,                 1.0469,                0.61921,                    0.5,                0.40107,                0.27397,                0.85415,                0.87905,                0.86563,                0.56875,                 1.1253,                 4.1657,                      0,                 1.1134,                 1.2462,               0.001208,               0.001208,               0.001208
                      6,                0.77225,                 4.0803,                      0,                0.98979,                0.99691,                0.59715,                   0.45,                0.40078,                 0.2746,                0.75645,                    0.8,                0.80064,                0.45961,                 1.0315,                 4.1871,                      0,                 1.0824,                 1.2397,                0.00101,                0.00101,                0.00101
                      7,                0.76712,                 4.0557,                      0,                0.97762,                 1.0044,                0.61306,                    0.5,                0.39288,                0.27178,                0.92035,                   0.75,                 0.8496,                0.66382,                  1.108,                 4.0084,                      0,                  1.076,                 1.3328,               0.000812,               0.000812,               0.000812
                      8,                0.69095,                 4.0025,                      0,                 0.9242,                0.96445,                0.50765,                    0.5,                0.38806,                0.30468,                0.84971,                0.84818,                0.89521,                0.68348,                0.93913,                 3.9455,                      0,                0.96469,                 1.1953,               0.000614,               0.000614,               0.000614
                      9,                0.68578,                 3.9171,                      0,                0.90813,                0.96025,                0.61542,                    0.5,                0.43552,                0.33945,                 0.9763,                    0.8,                0.84376,                0.63766,                0.96957,                 3.8174,                      0,                0.92784,                 1.1781,               0.000416,               0.000416,               0.000416
